Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1GZ4rjIbktlYy1n7zmyCmq,"Awake","You Never Walk Alone","BTS",2017-02-13,226160,53,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.35,0.498,3,-6.589,1,0.0332,0.023,0.00000199,0.269,0.34,142.803,4
spotify:track:01380RE6UfsPSdiUIwrCoH,"MIC Drop (Steve Aoki Remix) (Full Length Edition)","Love Yourself 結 'Answer'","BTS;Steve Aoki",2018-08-24,307675,72,false,,2025-09-15T13:00:30Z,"кей-поп,електро-хаус,електронна танцювальна музика","BIGHIT MUSIC",0.606,0.85,11,-3.952,1,0.183,0.0114,0.00000101,0.206,0.542,170.01,4
spotify:track:25TIeoVFG1QKdMppHdjNq0,"MAMA","You Never Walk Alone","BTS",2017-02-13,212275,54,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.543,0.739,5,-4.818,0,0.232,0.000226,0.0000214,0.0816,0.466,185.832,4
spotify:track:7gnIQ7K1TBbIvhVrR4c4gI,"Hold Me Tight","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,273992,53,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.64,0.799,6,-4.673,1,0.262,0.0155,0.0000044,0.218,0.376,139.962,4
spotify:track:0S6rA2IKknGGsyZNEkwRJB,"Autumn Leaves","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,267150,53,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.625,0.799,10,-3.54,0,0.0427,0.0108,0,0.144,0.316,105.007,4
spotify:track:2LVw2bIK99go1NdD77dUCW,"Outro : Ego","MAP OF THE SOUL : 7","BTS",2020-02-21,196198,63,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.808,0.903,0,-3.106,1,0.0957,0.0121,0.000248,0.0993,0.473,116.988,4
spotify:track:474dlSQ6pirpzcSf58cZOF,"First Love","You Never Walk Alone","BTS",2017-02-13,189795,49,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.545,0.74,8,-5.997,0,0.308,0.364,0,0.164,0.671,86.842,4
spotify:track:4XtvJ78i5yI5QigVHuxWZt,"Converse High","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,210221,53,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.72,0.803,1,-3.67,1,0.0963,0.0245,0,0.2,0.804,97.999,4
spotify:track:2J0X46UkpfLlWbuCXFgDLr,"Waste It On Me (feat. BTS)","Neon Future III","Steve Aoki;BTS",2018-11-09,192536,62,false,,2025-09-15T13:00:30Z,"електро-хаус,електронна танцювальна музика,кей-поп","Ultra Records, LLC",0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,4
spotify:track:2HMVg8AqrijDGKu0U5bVNH,"Whalien 52","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,243552,55,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.572,0.937,10,-2.569,0,0.28,0.0866,0.0000155,0.342,0.771,90.021,4
spotify:track:7MtCKC1shCaN0eaZoEd8yF,"Reflection","You Never Walk Alone","BTS",2017-02-13,233917,49,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.555,0.607,2,-7.991,1,0.085,0.0135,0.00000159,0.2,0.273,73.997,4
spotify:track:2yKBnKOmPXePrbHqRv42r4,"Respect","MAP OF THE SOUL : 7","BTS",2020-02-21,237540,59,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.661,0.838,0,-4.806,1,0.116,0.00491,0,0.287,0.526,91.463,4
